A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
Tapani,Traupe,F,630,130-5569,LISLE,IL,60532,S,Y,35000,3.0,2000,0,2000
Madhusudhan,Tuozzi,M,304,261-1348,SAINT MARYS,WV,26170,S,N,95000,6.5,2000,0,0
Sarosh,Jacopini,F,307,245-7181,ROCK RIVER,WY,82083,M,Y,15000,0.0,0,0,0
Aristides,Rajamony,M,979,285-3655,SULPHUR SPRINGS,TX,75483,S,Y,65000,0.0,0,0,0
M'hamed,Veillon,M,218,612-8959,MINNEAPOLIS,MN,55439,M,N,55000,7.1904483,0,6600,0
Muralidhara,Lavie,F,501,308-9698,ARMOREL,AR,72310,M,Y,15000,3.773037,0,40,20
Vineeta,Hammami,F,505,195-7099,STANLEY,NM,87056,S,Y,40000,5.3,3300,0,3300
Gaisi,Sobieski,F,318,101-5250,MERRYVILLE,LA,70653,M,Y,50000,6.0,0,9000,1000
Mingsheng,Birtle,M,414,747-4325,FREMONT,WI,54940,M,N,85000,5.9232907,0,1400,0
Imara,Zirkelbach,M,802,227-1986,BELMONT,VT,5730,M,N,15000,3.6,0,6600,0
Ives,Potthoff,M,765,716-8342,NEW ALBANY,IN,47150,S,Y,40000,3.4,1000,0,1000
Peter,Solovay,M,419,662-7827,KIMBOLTON,OH,43749,S,N,60000,2.537718,1300,0,0
Yujiun,Stround,M,502,431-5319,MARTHA,KY,41159,M,Y,15000,2.6666667,0,40,20
Pratap,Bilotta,F,405,700-9506,ELK CITY,OK,73644,M,N,60000,6.25,0,2000,0
Akiharu,Volovik,M,870,649-2530,LONDON,AR,72847,M,N,100000,7.0,0,40,0
Anup,Pordesch,F,270,392-3454,MOUNT STERLING,KY,40353,S,Y,55000,4.888889,20,0,20
Marinos,Rich,F,720,623-5987,HILLROSE,CO,80733,S,N,25000,4.63,0,0,0
Nevio,Vuskovic,F,307,802-2399,JACKSON,WY,83001,M,Y,25000,0.0,0,0,0
Raymond,Rips,F,224,559-1177,KILBOURNE,IL,62655,M,Y,80000,3.0,0,4000,2000
Marita,Feldmesser,M,609,338-2338,KENILWORTH,NJ,7033,M,N,20000,1.4,0,2000,0
Vinny,Simplot,F,605,902-5296,TURTON,SD,57477,S,N,90000,0.0,0,0,0
Yoriko,Sudbeck,M,603,179-1560,AUBURN,NH,3032,S,Y,10000,0.0,0,0,0
Charlotte,Nishizeki,F,801,101-9301,GLENDALE,UT,84729,S,N,25000,7.0,2475,0,0
Varsha,Holdridge,F,904,586-3848,LAKELAND,FL,33805,S,Y,100000,0.0,0,0,0
Willa,Pintz,M,719,633-9215,SAGUACHE,CO,81149,M,Y,65000,4.63,0,0,0
Renny,Kochskamper,F,580,540-7108,PRYOR,OK,74361,S,N,60000,6.25,1000,0,0
Tianqing,Gustavson,M,802,667-5005,MARSHFIELD,VT,5658,M,Y,35000,3.7014668,0,6600,3300
Hodong,Biso,M,608,851-6735,GREEN BAY,WI,54306,M,N,45000,5.228285,0,1400,0
Yohtaro,Baxter,F,413,837-7260,QUINCY,MA,2169,M,Y,50000,5.3,0,7150,1000
Hyuk,Sedobgo,F,308,868-3882,BAYARD,NE,69334,S,N,25000,6.5736103,103,0,0
Winfried,Kusakari,F,715,347-9576,CLINTONVILLE,WI,54929,S,Y,35000,5.0545335,700,0,400
Samuli,Pavlotskaya,M,801,627-2269,TABIONA,UT,84072,S,N,60000,7.0,2475,0,0
Tsutomu,Bluthgen,F,262,654-1949,MILWAUKEE,WI,53278,S,Y,45000,5.228285,700,0,400
Sungju,Mackenthun,M,401,439-9728,PAWTUCKET,RI,2860,M,N,35000,0.0,0,0,0
Kalyan,Laqua,M,603,826-5399,GREENVILLE,NH,3048,M,N,50000,0.0,0,0,0
Tucker,Tahe,M,707,916-1943,TULARE,CA,93275,M,Y,50000,9.3,0,174,272
Kerstin,Dehene,F,918,444-5973,OKLAHOMA CITY,OK,73179,M,Y,10000,6.25,0,2000,1000
Kaoru,Dykema,M,541,348-1687,SALEM,OR,97309,M,Y,25000,9.0,0,318,159
Carrel,Landvogt,M,203,548-9905,NEW HAVEN,CT,6530,S,N,55000,5.0,12750,0,0
Valter,Rozen,M,574,739-8571,MEROM,IN,47861,S,Y,60000,3.4,1000,0,1000
Nabanita,Wettschereck,M,901,794-3796,HARTFORD,TN,37753,M,Y,50000,0.0,0,0,0
Masayuki,Einwohner,M,217,250-6627,ROSICLARE,IL,62982,M,Y,40000,3.0,0,4000,2000
Prabhu,Yand,F,812,190-8890,MISHAWAKA,IN,46544,S,N,60000,3.4,1000,0,0
Bakhadyr,Biros,M,406,701-8083,HELENA,MT,59601,M,Y,100000,6.9,0,3800,1900
Kuriacose,Sweazey,F,435,594-6866,MARYSVALE,UT,84750,M,N,65000,7.0,0,4950,0
Lara,Gitler,M,802,930-8393,FAIRFAX,VT,5454,S,N,75000,4.4972854,3300,0,0
Chaisak,Stricker,M,864,228-4674,KINARDS,SC,29355,S,N,60000,7.0,3300,0,0
Volkmar,Ranum,M,940,821-9037,HUTTO,TX,78634,M,Y,65000,0.0,0,0,0
Gaurav,Oppenheim,F,401,534-2408,HOPE VALLEY,RI,2832,S,N,10000,0.0,0,0,0
Yufei,Collings,F,505,468-1234,EL PRADO,NM,87529,S,Y,80000,5.3,3300,0,3300
Rafal,Prunet,F,860,676-1061,STRATFORD,CT,6614,M,Y,90000,5.0,0,24500,0
Alexey,Gorg,M,702,391-8148,GLENBROOK,NV,89413,S,N,85000,0.0,0,0,0
Sastry,Ilarraza,M,781,424-5789,CANTON,MA,2021,M,N,70000,5.3,0,7150,0
Madanpal,Lipponen,M,425,616-9107,SEATTLE,WA,98122,S,Y,50000,0.0,0,0,0
Jeffery,Marechal,M,435,598-8201,CENTERFIELD,UT,84622,S,N,80000,7.0,2475,0,0
Beng,Gavrilov,F,918,763-9942,TULSA,OK,74146,M,N,25000,6.25,0,2000,0
Svein,Raeithel,M,256,125-1276,GROVE HILL,AL,36451,M,N,80000,5.0,0,3000,0
Algirdas,Bellone,F,775,331-8767,ELKO,NV,89802,M,Y,80000,0.0,0,0,0
Ebbe,Lenart,M,678,621-1820,MACON,GA,31204,M,N,5000,4.4,0,5400,0
Ayako,Kislenkov,M,802,777-1887,FERRISBURGH,VT,5456,S,N,25000,3.6,3300,0,0
Uday,Lukose,F,952,460-6194,MARINE ON SAINT CROIX,MN,55047,S,Y,50000,6.9236393,3300,0,3300
Inhan,Goldhammer,F,304,344-3328,SABINE,WV,25916,M,Y,35000,4.75,0,4000,2000
Ville,Arruda,M,563,491-1972,WESTGATE,IA,50681,M,N,30000,4.795432,0,80,0
Sitt,Konuma,M,971,414-5240,OTTER ROCK,OR,97369,M,Y,95000,9.0,0,318,159
Cor,Guvenir,F,617,248-1316,SCITUATE,MA,2066,S,Y,5000,5.3,3575,0,1000
Jea,Tanner,F,903,173-9286,CACTUS,TX,79013,M,N,50000,0.0,0,0,0
Catherina,Kahl,M,757,796-1896,MILLERS TAVERN,VA,23115,S,N,45000,5.75,900,0,0
Vassos,Ledeniov,F,769,243-1384,LAKE,MS,39092,S,Y,40000,5.0,6000,0,1500
Subutai,Ridley,M,207,550-1723,NORTH YARMOUTH,ME,4097,S,N,35000,8.5,2850,0,0
Vasant,Schwartzel,F,208,589-4343,BOISE,ID,83757,S,N,60000,7.8,3300,0,0
Oleg,Schilier,M,845,290-9217,NORTHPORT,NY,11768,S,N,85000,4.4460363,0,0,0
Thula,Lanzi,F,301,502-8280,OWINGS,MD,20736,S,Y,25000,4.75,2400,0,2400
Guihai,Jarecki,F,732,180-9158,FLORENCE,NJ,8518,M,Y,80000,2.34625,0,2000,1500
Rayond,Rachid,F,304,952-9962,DUCK,WV,25063,M,N,5000,3.0,0,4000,0
Hongji,Moursund,F,803,196-8071,LYNCHBURG,SC,29080,S,Y,50000,7.0,3300,0,3300
Kukhamay,Simec,M,812,990-4320,SOUTH BEND,IN,46635,S,N,5000,3.4,1000,0,0
Chams,Fugetta,M,828,174-8014,ROCKY MOUNT,NC,27802,S,N,15000,6.0472026,3300,0,0
Denzil,Prenel,M,302,858-4255,MILFORD,DE,19963,S,N,10000,2.540909,110,0,0
Lea,Luttringhaus,F,256,877-5684,REPTON,AL,36475,M,Y,10000,5.0,0,3000,300
Wido,Rusinkiewicz,M,763,439-2941,FELTON,MN,56536,M,Y,60000,7.4572573,0,6600,3300
Shreekant,Anastasakis,M,561,773-5245,DAVENPORT,FL,33837,S,Y,80000,0.0,0,0,0
Carlo,Zeugmann,M,480,111-4860,LUPTON,AZ,86508,S,N,55000,3.5674999,2100,0,0
Michaela,Austing,F,501,433-7774,MC GEHEE,AR,71654,S,Y,35000,7.0,20,0,20
Snehamay,Raab,F,978,520-6041,JEFFERSON,MA,1522,S,N,15000,5.3,3575,0,0
Erol,Gloy,F,605,633-7906,NEWELL,SD,57760,S,Y,35000,0.0,0,0,0
Kunikazu,Rebbapragada,F,319,298-3083,LITTLE ROCK,IA,51243,S,N,45000,7.111101,40,0,0
Geard,Nador,M,757,209-5430,GREENWAY,VA,22067,S,Y,100000,5.75,900,0,900
Mattijs,Rehof,M,920,122-5930,GILE,WI,54525,M,N,75000,5.7495394,0,1400,0
Ceri,Danley,M,865,827-4635,NASHVILLE,TN,37210,M,Y,85000,0.0,0,0,0
Demos,Ying,F,802,896-3159,WEST PAWLET,VT,5775,S,N,5000,3.6,3300,0,0
Maheswara,Munster,F,785,546-3475,ELK CITY,KS,67344,M,Y,60000,6.45,0,4500,2250
Ruay,Juste,F,425,602-8191,TACOMA,WA,98408,S,N,5000,0.0,0,0,0
Greet,Dress,F,769,175-9829,STARKVILLE,MS,39759,M,Y,25000,5.0,0,12000,1500
Steen,Ladret,M,251,958-8123,ARLINGTON,AL,36722,S,Y,25000,5.0,1500,0,300
Jianxiu,Ruben,M,802,971-3420,PERKINSVILLE,VT,5151,S,N,70000,4.397808,3300,0,0
Gerge,Scutella,F,828,826-1121,RALEIGH,NC,27604,M,N,20000,6.1520977,0,6600,0
Elise,Steinparz,M,218,487-2085,LAKE WILSON,MN,56151,S,Y,15000,5.35,3300,0,3300
Yixiu,Maloney,M,203,100-2339,PLANTSVILLE,CT,6479,M,N,40000,5.0,0,24500,0
Alair,Kohnert,F,208,102-9556,LEMHI,ID,83465,M,Y,70000,7.8,0,6600,3300
Anany,Sikic,M,423,760-4403,NASHVILLE,TN,37244,S,N,25000,0.0,0,0,0
Wuudiann,Throop,F,808,579-3303,HONOLULU,HI,96816,M,Y,65000,8.25,0,2080,1040
Jingyuan,Cicchette,M,410,258-4942,BALTIMORE,MD,21201,M,N,65000,4.75,0,4800,0
Leizhen,Charretton,M,808,329-8657,KAAAWA,HI,96730,M,N,55000,8.25,0,2080,0
Helder,Cassels,M,505,302-2777,SANTA FE,NM,87505,S,Y,15000,4.957143,3300,0,3300
Bush,Huberman,F,228,678-7747,BURNSVILLE,MS,38833,M,Y,30000,5.0,0,12000,1500
Iara,Roussinov,M,208,855-4195,HOWE,ID,83244,M,N,30000,7.8,0,6600,0
Itai,Kleftouris,F,307,154-1954,LOVELL,WY,82431,M,N,70000,0.0,0,0,0
Lui,Bisseret,F,351,479-6590,WORCESTER,MA,1606,S,N,70000,5.3,3575,0,0
Anestis,Villamor,F,734,123-4213,LINCOLN,MI,48742,S,N,80000,3.9,3100,0,0
Amani,Duntsch,F,435,651-4053,GLENWOOD,UT,84730,M,Y,45000,7.0,0,4950,2475
Hiroomi,Ogata,M,262,938-4476,BROOKFIELD,WI,53008,S,Y,15000,4.707031,700,0,400
Alvis,Razek,F,408,501-3294,CUPERTINO,CA,95014,M,Y,25000,5.410157,0,174,272
Balkrishna,Monnard,F,774,715-7380,MONTAGUE,MA,1351,S,Y,25000,5.3,3575,0,1000
Goce,Grizzle,F,630,873-8534,BURNT PRAIRIE,IL,62820,M,N,30000,3.0,0,4000,0
Kunihito,O'Hallaron,M,360,377-4712,MOUNT VERNON,WA,98273,M,Y,85000,0.0,0,0,0
Pae,Anjan,M,207,645-4204,KITTERY,ME,3904,S,Y,50000,8.5,2850,0,2850
Asim,Donald,F,208,604-8745,KELLOGG,ID,83837,M,Y,15000,5.529042,0,6600,3300
Felisa,Ekanadham,F,304,783-5641,BOLT,WV,25817,M,Y,95000,6.5,0,4000,2000
Gerald,Demian,M,402,753-6548,OVERTON,NE,68863,M,Y,70000,6.84,0,206,103
Xingwei,Wolte,F,318,226-6573,SHREVEPORT,LA,71119,S,N,10000,2.0,4500,0,0
Martien,Gose,M,860,810-5209,CHESHIRE,CT,6411,S,N,75000,5.0,12750,0,0
Shoham,McCoy,M,701,688-3699,EDGELEY,ND,58433,S,N,40000,2.2194002,3300,0,0
Bart,Fulcher,M,202,290-6633,WASHINGTON,DC,20203,M,N,95000,9.0,0,2740,0
Arupratan,Koutny,F,907,784-9481,DEERING,AK,99736,M,Y,75000,0.0,0,0,0
Pomset,Kabuka,F,207,159-7140,BOOTHBAY HARBOR,ME,4538,M,Y,70000,8.5,0,5700,2850
Yousong,Edmundson,M,325,495-1082,SAN ANTONIO,TX,78209,S,Y,5000,0.0,0,0,0
Stanislas,Nishanov,F,401,813-7446,WARWICK,RI,2889,S,N,60000,0.0,0,0,0
Xiping,Reitz,M,251,567-5869,BIRMINGHAM,AL,35245,S,N,75000,5.0,1500,0,0
Xumin,Smetana,F,330,631-2253,PLEASANT PLAIN,OH,45162,S,Y,60000,2.537718,1300,0,1300
Jingling,Haneke,F,785,909-8957,TOPEKA,KS,66667,S,Y,5000,3.5,2250,0,2250
Nevio,Kavaky,F,937,633-7872,MONTVILLE,OH,44064,S,Y,75000,3.0356412,1300,0,1300
Hein,Gascon,M,949,176-9406,SACRAMENTO,CA,95829,S,Y,15000,3.0493855,87,0,272
Agatha,Dighe,F,808,291-9640,HONOLULU,HI,96811,S,Y,15000,3.743421,1040,0,1040
Muli,Mergen,M,757,426-8933,EAGLE ROCK,VA,24085,M,N,40000,5.75,0,1800,0
Cathie,Castanedo,M,402,532-7127,DU BOIS,NE,68345,M,N,50000,6.84,0,206,0
Ingram,Mistrik,F,808,774-3762,LAWAI,HI,96765,S,Y,50000,8.25,1040,0,1040
Aohan,Dolken,M,401,606-1792,PROVIDENCE,RI,2909,S,N,50000,0.0,0,0,0
Bitan,Varhegyi,F,208,331-5108,FRUITLAND,ID,83619,S,N,25000,7.8,3300,0,0
Curd,Cudia,F,302,753-9611,MARYDEL,DE,19964,S,Y,80000,5.95,110,0,110
Tung,Favero,M,503,329-7022,EUGENE,OR,97405,M,Y,100000,9.0,0,318,159
Ayman,Hallman,M,623,201-5060,NOGALES,AZ,85628,M,N,80000,3955,0,4200,0
Jooseok,Chomsky,F,314,335-3359,KINGSVILLE,MO,64061,M,N,85000,6.0,0,4200,0
Shelby,Nitsche,F,802,637-8423,WEBSTERVILLE,VT,5678,S,N,80000,4.5967627,3300,0,0
Jifeng,Kyung,M,787,223-4691,TOA BAJA,PR,949,M,Y,70000,0.0,0,0,0
Sadamu,Groenboom,F,918,206-3627,MARTHA,OK,73556,M,N,40000,6.25,0,2000,0
Nobuo,Korncoff,M,920,998-9313,GORDON,WI,54838,M,Y,90000,6.010166,0,1400,400
Mark,Pottossine,F,978,325-9237,HANOVER,MA,2339,S,N,40000,5.3,3575,0,0
Shiv,Kerm,M,603,267-7316,NEW HAMPTON,NH,3256,S,N,80000,0.0,0,0,0
Eliot,Zajac,F,848,135-4430,SUSSEX,NJ,7461,M,N,70000,2.1885417,0,2000,0
Yihua,Alpay,F,706,191-2440,RED OAK,GA,30272,S,Y,40000,6.0,2700,0,3000
Zary,Dana,F,302,327-8370,DELMAR,DE,19940,M,Y,10000,2.540909,0,220,110
Greger,Westby,M,208,307-7019,REUBENS,ID,83548,M,Y,40000,7.8,0,6600,3300
Fangju,Lehtovaara,M,917,636-4974,ROCHESTER,NY,14639,M,N,65000,4.330183,0,0,0
Jar,Falby,F,947,847-1112,LUDINGTON,MI,49431,M,Y,60000,3.9,0,6200,3100
Dongping,Bloedorn,M,201,964-6259,LANDING,NJ,7850,M,Y,55000,1.9519792,0,2000,1500
Charalampos,Clair,F,361,266-7575,ADKINS,TX,78101,S,N,50000,0.0,0,0,0
Neil,Postiff,F,541,321-1819,FRENCHGLEN,OR,97736,M,Y,25000,9.0,0,318,159
Roope,Milidiu,F,608,420-4276,MILTON,WI,53563,M,Y,100000,6.183918,0,1400,400
Bhupinder,Weydert,M,406,927-5540,PABLO,MT,59855,M,Y,30000,6.9,0,3800,1900
Erin,Ledin,F,231,123-8480,WHITE LAKE,MI,48383,S,N,90000,3.9,3100,0,0
Ekawit,Loewenstern,M,956,963-5855,MOUNTAIN HOME,TX,78058,S,Y,70000,0.0,0,0,0
Violaine,Alsup,M,303,864-6526,COLORADO SPRINGS,CO,80906,M,Y,80000,4.63,0,0,0
Allen,Benkahla,M,773,841-1021,MATHERVILLE,IL,61263,M,N,90000,3.0,0,4000,0
Hristo,Carpineto,F,303,385-5644,SILVERTON,CO,81433,M,Y,65000,4.63,0,0,0
Hiro,Sever,F,505,788-4000,SAN RAFAEL,NM,87051,M,N,40000,5.3,0,6600,0
Maurelio,Abbey,M,216,495-8917,SALEM,OH,44460,M,Y,100000,3.8655128,0,2600,1300
Toshikazu,McDermott,F,605,935-4736,BIG STONE CITY,SD,57216,S,Y,70000,0.0,0,0,0
Ryszard,Hudlicka,F,303,888-6252,BOULDER,CO,80314,S,N,90000,4.63,0,0,0
Liren,Kurian,F,785,515-5127,COATS,KS,67028,S,N,100000,6.45,2250,0,0
Krishnamurthi,Benaini,M,505,329-2973,SAN ACACIA,NM,87831,M,N,55000,5.3,0,6600,0
Barry,Gorg,M,503,886-9215,MONROE,OR,97456,S,Y,50000,9.0,159,0,159
Arunachalam,Putfarken,F,504,819-7315,COLFAX,LA,71417,M,Y,35000,6.0,0,9000,1000
Qingzhou,Otterbein,M,774,364-4137,SPRINGFIELD,MA,1199,M,N,50000,5.3,0,7150,0
Ridha,Lovengreen,M,616,594-4184,CLARKSTON,MI,48348,S,Y,5000,3.9,3100,0,3100
Ascander,Bennet,M,540,539-9732,CARSON,VA,23830,M,Y,10000,3875,0,1800,900
Yoshikazu,Nakakoji,F,406,491-5227,DUTTON,MT,59433,M,N,45000,6.9,0,3800,0
Sumali,Reinhard,F,907,137-1293,FAIRBANKS,AK,99709,S,Y,90000,0.0,0,0,0
Yannik,DeLano,F,202,143-5266,WASHINGTON,DC,20523,S,N,40000,9.0,1370,0,0
Antoni,Phua,M,304,279-4002,JOLO,WV,24850,S,N,60000,6.5,2000,0,0
Fredric,Baar,M,401,946-1136,PROVIDENCE,RI,2940,S,N,65000,0.0,0,0,0
Abhijit,Quadeer,M,208,971-5503,SHOUP,ID,83469,S,Y,70000,7.8,3300,0,3300
Shimshon,Assadi,M,218,251-5337,HAMEL,MN,55340,M,N,55000,7.1904483,0,6600,0
Aggis,Cornero,F,336,374-2980,CHARLOTTE,NC,28226,M,Y,25000,6.256993,0,6600,3300
Yonhao,Muluszynski,F,978,114-5499,CUMMINGTON,MA,1026,S,Y,35000,5.3,3575,0,1000
Hungwen,Maraist,F,609,443-4301,FRENCHTOWN,NJ,8825,S,Y,90000,2.5039582,1000,0,1500
Shyjan,Worthington,F,586,381-7700,OTTER LAKE,MI,48464,M,Y,80000,3.9,0,6200,3100
DeLiang,Bashkow,M,315,246-5195,COPAKE FALLS,NY,12517,S,N,25000,4.0984755,0,0,0
Zongyan,Peter,F,907,184-7217,TANANA,AK,99777,S,Y,55000,0.0,0,0,0
Akhtar,Saloma,M,802,706-7199,EAST FAIRFIELD,VT,5448,S,N,30000,3.6019895,3300,0,0
Jiang,Tausch,M,806,284-7090,CEDAR HILL,TX,75104,M,N,95000,0.0,0,0,0
Morikazu,Malhis,M,605,518-8393,ISABEL,SD,57633,S,N,100000,0.0,0,0,0
Jiabin,Tolba,M,715,251-3993,NEENAH,WI,54957,M,N,10000,4.620155,0,1400,0
Michaelis,Bark,F,815,915-8656,NAUVOO,IL,62354,S,Y,30000,3.0,2000,0,2000
Dilvan,Engberts,M,551,626-7662,CLINTON,NJ,8809,M,Y,55000,1.9519792,0,2000,1500
Shumin,Renear,M,878,797-5236,CHALFONT,PA,18914,M,N,20000,3.07,0,0,0
Mihael,Ehrenberger,F,563,753-2076,DOUGHERTY,IA,50433,S,Y,35000,5.567322,40,0,40
Stijn,Abeck,M,620,817-9272,PORTIS,KS,67474,S,Y,75000,6.45,2250,0,2250
Joonoo,Kubera,M,612,235-9475,WALKER,MN,56484,S,Y,55000,7.1904483,3300,0,3300
Analia,Ilie,M,423,216-1107,MILLINGTON,TN,38055,S,N,40000,0.0,0,0,0
Karthikeyan,Kaisler,M,769,350-8554,ACKERMAN,MS,39735,M,N,20000,5.0,0,12000,0
Asanobu,Vodislav,F,406,587-9683,REXFORD,MT,59930,M,Y,20000,6.9,0,3800,1900
Shauchi,Yurek,F,971,854-3377,CASCADIA,OR,97329,S,Y,70000,9.0,159,0,159
Ayako,Niggemeyer,M,412,293-5240,GORDON,PA,17936,S,Y,15000,3.07,0,0,0
Junehwa,Shacklett,M,304,619-4517,SHIRLEY,WV,26434,S,N,80000,6.5,2000,0,0
Edmund,Neimat,F,307,160-4301,SUPERIOR,WY,82945,M,Y,45000,0.0,0,0,0
Asis,Islam,M,208,952-1254,IDAHO FALLS,ID,83404,M,Y,85000,7.8,0,6600,3300
Junro,Walstra,M,253,232-5070,TACOMA,WA,98408,M,Y,50000,0.0,0,0,0
Armar,Peterka,M,908,784-8763,CHERRY HILL,NJ,8034,S,Y,40000,1.7154167,1000,0,1500
Sonja,Giddy,F,334,920-5019,GURLEY,AL,35748,M,Y,20000,5.0,0,3000,300
Dulce,Petzsch,F,601,376-2782,PELAHATCHIE,MS,39145,S,N,90000,5.0,6000,0,0
Lode,Falgout,F,203,428-6167,UNIONVILLE,CT,6085,S,N,50000,5.0,12750,0,0
Dusko,Loganantharaj,F,505,122-5766,FLORA VISTA,NM,87415,S,N,100000,5.3,3300,0,0
Juei,Picaronny,M,310,183-2801,NICE,CA,95464,S,Y,75000,9.3,87,0,272
JiYoung,Gorenstein,M,234,314-7342,GRAFTON,OH,44044,S,N,50000,2.2057693,1300,0,0
Saad,Georg,M,901,725-8607,MURFREESBORO,TN,37132,S,N,100000,0.0,0,0,0
Guy,Wiering,M,860,970-5209,WALLINGFORD,CT,6494,M,N,20000,5.0,0,24500,0
Rowland,Byoun,M,571,841-9335,ARLINGTON,VA,22227,S,N,55000,5.75,900,0,0
Juval,Khayat,F,208,979-1560,VIOLA,ID,83872,S,Y,100000,7.8,3300,0,3300
Mohamad,Rauch,F,609,379-2778,ELMER,NJ,8318,M,Y,55000,1.9519792,0,2000,1500
Dinabandhu,Che,F,401,791-7226,CUMBERLAND,RI,2864,M,Y,90000,0.0,0,0,0
Piergiulio,Reich,M,802,597-1354,CHARLOTTE,VT,5445,S,Y,25000,3.6,3300,0,3300
Khaled,Marzano,M,360,200-1361,REDMOND,WA,98052,M,N,60000,0.0,0,0,0
Chengfei,Easwarakumar,F,435,305-4930,OGDEN,UT,84244,M,N,75000,7.0,0,4950,0
Deganit,Speckhard,F,903,940-6226,GORDONVILLE,TX,76245,S,N,85000,0.0,0,0,0
Pranav,Bronne,F,678,558-9803,TRION,GA,30753,M,Y,50000,6.0,0,5400,3000
Radhika,DeTurk,M,859,718-7757,WILLARD,KY,41181,S,N,25000,3.2222223,20,0,0
Shigeyoshi,Dearnley,M,603,634-2448,LEE,NH,3861,S,N,20000,0.0,0,0,0
Rondall,Schachtel,M,503,791-6593,EDDYVILLE,OR,97343,S,Y,80000,9.0,159,0,159
Gentaro,Corvi,M,605,293-6948,AMHERST,SD,57421,S,N,95000,0.0,0,0,0
Wiebe,Bertsekas,F,870,350-8616,ASHDOWN,AR,71822,S,N,65000,7.0,20,0,0
Suzan,Manago,M,860,932-3836,GALES FERRY,CT,6335,M,N,90000,5.0,0,24500,0
Stafano,Dasarathy,M,772,195-1669,CRAWFORDVILLE,FL,32326,S,Y,35000,0.0,0,0,0
Mihhail,Villani,F,401,181-2808,PROVIDENCE,RI,2909,S,Y,80000,0.0,0,0,0
Padmaja,Debuse,F,316,109-9307,HUTCHINSON,KS,67501,S,Y,25000,5.4666667,2250,0,2250
Belaid,Walrath,M,301,930-9256,BALTIMORE,MD,21263,S,N,75000,4.75,2400,0,0
Faron,Senzako,M,702,436-1927,LAS VEGAS,NV,89155,S,N,70000,0.0,0,0,0
Leliane,Hepner,M,802,154-5948,SOUTH NEWFANE,VT,5351,S,N,65000,4.298331,3300,0,0
Roseanne,Dssouli,F,609,993-2979,NORTH BRUNSWICK,NJ,8902,M,Y,80000,2.34625,0,2000,1500
Rosemarie,Ornburn,M,302,376-1520,SAINT GEORGES,DE,19733,S,N,80000,5.95,110,0,0
Kwangkeun,Witzgall,F,312,380-1256,ELLSWORTH,IL,61737,M,Y,70000,3.0,0,4000,2000
Zygmunt,Vogley,F,985,246-8363,BATON ROUGE,LA,70804,S,Y,50000,6.0,4500,0,1000
Varsha,Forne,F,502,442-8014,WALTON,KY,41094,M,Y,40000,4.0555553,0,40,20
Mikey,Portinale,M,928,111-1845,GREEN VALLEY,AZ,85622,S,N,50000,3.49,2100,0,0
Assef,Boydens,M,401,292-4595,CHEPACHET,RI,2814,M,N,75000,0.0,0,0,0
Holm,Adomavicius,F,701,842-6059,KINDRED,ND,58051,M,N,15000,2.1,0,6600,0
Swami,Vasanthakumar,F,724,485-4981,JOHNSTOWN,PA,15909,S,N,60000,3.07,0,0,0
Allessandro,Kirtane,M,202,834-1501,WASHINGTON,DC,20590,S,N,85000,9.0,1370,0,0
Theresa,Bate,M,302,720-4387,WILMINGTON,DE,19805,M,Y,100000,5.95,0,220,110
Swapna,Weishar,F,620,936-2605,TOPEKA,KS,66617,M,N,95000,6.45,0,4500,0
Koppolu,Fessel,F,302,179-7865,VIOLA,DE,19979,M,N,55000,5.609091,0,220,0
Friedbert,Lardy,F,205,177-2644,GURLEY,AL,35748,M,Y,50000,5.0,0,3000,300
Kyungshik,Thies,M,859,784-3157,PARK CITY,KY,42160,M,N,35000,3.7777777,0,40,0
Lex,Yamartino,M,843,506-8835,FORT MILL,SC,29716,S,N,15000,7.0,3300,0,0
Akeo,Hertweck,F,208,749-8983,POST FALLS,ID,83854,M,Y,75000,7.8,0,6600,3300
Brahim,Bensard,F,646,777-3892,STUYVESANT,NY,12173,S,Y,90000,4475,0,0,1000
Prabandham,Wolfson,M,228,687-4405,ACKERMAN,MS,39735,M,Y,25000,5.0,0,12000,1500
Stergios,Niizuma,M,802,972-7902,ALBANY,VT,5820,S,Y,25000,3.6,3300,0,3300
Siddharthan,Reuter,F,603,909-7086,DOVER,NH,3820,S,N,15000,0.0,0,0,0
Rohan,Rubin,F,401,780-5355,PORTSMOUTH,RI,2871,S,Y,95000,0.0,0,0,0
Jaron,Earley,F,802,736-7289,EAST HARDWICK,VT,5836,S,Y,20000,3.6,3300,0,3300
Ric,Desal,F,775,862-2110,SPARKS,NV,89435,S,Y,65000,0.0,0,0,0
Amin,Dargam,M,858,122-7272,RIVERSIDE,CA,92506,S,Y,30000,6.590543,87,0,272
Melville,Vickson,M,605,561-4866,HUDSON,SD,57034,M,Y,15000,0.0,0,0,0
Atushi,Raver,M,715,483-6244,GLEN HAVEN,WI,53810,M,Y,100000,6.183918,0,1400,400
Madan,Lavrac,F,843,408-6238,FAIR PLAY,SC,29643,S,N,45000,7.0,3300,0,0
Valentinas,Kerm,F,803,541-4410,LYNCHBURG,SC,29080,M,N,70000,7.0,0,6600,0
Hacene,Hanzalek,F,913,112-8026,FAIRVIEW,KS,66425,S,N,5000,3.5,2250,0,0
